Date,ZZ0000000001,ZZ0000000002,ZZ0000000003,ZZ0000000004,ZZ0000000005,ZZ0000000006,ZZ0000000007,ZZ0000000008,ZZ0000000009,ZZ0000000010,ZZ0000000011,ZZ0000000012
2023-01-02,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
2023-01-03,1.0000921457,1.0000514427,1.0001050071,1.0000944024,1.0010048520,0.9998548335,1.0000836560,0.9999612759,1.0015895141,0.9878667828,1.0049776037,0.9974834871
2023-01-04,1.0000826217,1.0001337564,1.0002854678,1.0003475765,1.0007330583,1.0008943961,1.0001956187,0.9979662053,0.9946738062,0.9692487256,0.9883799360,0.9823293741
2023-01-05,1.0002163645,1.0001143823,1.0003419578,1.0003723546,1.0008574079,1.0029998499,1.0002217359,0.9980522263,0.9883415814,0.9782163766,0.9967016718,0.9690577578
2023-01-06,1.0004019671,1.0003984704,1.0006615583,1.0007411293,1.0015425814,1.0032572708,1.0003054415,0.9983439608,0.9882030172,0.9858394271,0.9888841429,0.9924741580
2023-01-09,1.0004471172,1.0003718380,1.0008632063,1.0009223585,1.0020639911,1.0049523239,1.0004506575,0.9975271211,0.9947424860,1.0045436600,0.9936951618,1.0019795115
2023-01-10,1.0005659091,1.0006643758,1.0009304204,1.0012344482,1.0029516058,1.0057084703,1.0006786180,0.9986067834,1.0095325529,1.0211325829,1.0052103665,1.0171388883
2023-01-11,1.0006869164,1.0007394243,1.0009713255,1.0011935102,1.0040469931,1.0046835108,1.0008447286,0.9989728802,1.0020212585,1.0153558168,1.0015195258,1.0151511436
2023-01-12,1.0006389449,1.0008026208,1.0010929057,1.0011513275,1.0055059203,1.0047264649,1.0010295186,0.9984884284,0.9889046973,1.0144995027,1.0000320013,1.0083052944
2023-01-13,1.0008794289,1.0007204814,1.0012160302,1.0013883679,1.0042787998,1.0052435381,1.0012248052,0.9967482456,0.9874284110,1.0266419935,0.9882820883,1.0258093622
2023-01-16,1.0011828746,1.0009201912,1.0013162644,1.0016182808,1.0036228635,1.0048737951,1.0013494720,0.9979613017,0.9935594982,1.0254851397,0.9982285314,1.0218265556
2023-01-17,1.0014948289,1.0011106697,1.0015304558,1.0018068244,1.0030454748,1.0061901991,1.0014513740,0.9982787315,0.9911263579,1.0324760524,1.0011247890,1.0027958244
2023-01-18,1.0016537508,1.0012178075,1.0015924866,1.0017845416,1.0030811255,1.0059702440,1.0015896055,1.0000078967,0.9901719632,1.0342654863,1.0028895243,0.9947838501
2023-01-19,1.0018108849,1.0012684143,1.0016933105,1.0019078320,1.0048669885,1.0073125390,1.0016698866,1.0003198744,1.0014283898,1.0513612800,1.0141606431,1.0154126136
2023-01-20,1.0018895875,1.0012523804,1.0018055772,1.0021836198,1.0054355540,1.0084454684,1.0018090391,0.9973408255,1.0046353221,1.0534518839,1.0215606041,1.0101546559
2023-01-23,1.0022180473,1.0013125265,1.0019288227,1.0022089549,1.0050127064,1.0081750195,1.0020337882,0.9966310558,1.0164226274,1.0621779705,1.0289298132,1.0314817241
2023-01-24,1.0022063314,1.0014425987,1.0020269739,1.0023940003,1.0070719901,1.0089673638,1.0020193396,0.9973922739,1.0104672539,1.0566355989,1.0335198593,1.0399269761
2023-01-25,1.0023410419,1.0015202215,1.0022595077,1.0024128410,1.0084745505,1.0096133240,1.0023574524,0.9937071590,1.0061288471,1.0366118484,1.0257431809,1.0726919727
2023-01-26,1.0025020947,1.0015418956,1.0025261556,1.0024172534,1.0083394234,1.0103747262,1.0024509109,0.9902828018,0.9972919217,1.0325586229,1.0166955780,1.0901324066
2023-01-27,1.0028048593,1.0015891240,1.0027919879,1.0026489581,1.0079233103,1.0102187539,1.0025011179,0.9927193786,1.0024680253,1.0413845981,1.0253834785,1.0931732907
2023-01-30,1.0027841490,1.0016231817,1.0030261109,1.0027683576,1.0094142524,1.0110743670,1.0026667973,0.9943675205,0.9943810508,1.0312502816,1.0132728436,1.0973791396
2023-01-31,1.0029248852,1.0018216513,1.0030127883,1.0027209605,1.0103653822,1.0104467023,1.0027785212,0.9941339169,1.0078628052,1.0388268050,1.0192539447,1.1090063610
2023-02-01,1.0029530320,1.0020025501,1.0032601833,1.0026913260,1.0115440291,1.0109666432,1.0029643920,0.9931471742,0.9981977251,1.0231542861,1.0217803514,1.1221071308
2023-02-02,1.0031331143,1.0021523719,1.0034639932,1.0029934778,1.0112600771,1.0089534728,1.0032547761,0.9922363222,0.9891350765,1.0266653465,1.0162441434,1.0936329388
2023-02-03,1.0034312789,1.0023696027,1.0034912233,1.0030125677,1.0117326997,1.0093797042,1.0033510232,0.9959538447,0.9853903666,1.0205309377,1.0143257191,1.0924155691
2023-02-06,1.0035223898,1.0024694362,1.0034320336,1.0032386623,1.0104239399,1.0094511501,1.0034719993,0.9967154464,0.9879887438,1.0264427742,1.0167976245,1.1112893650
2023-02-07,1.0037699228,1.0023062272,1.0036597368,1.0034469544,1.0096684984,1.0094444597,1.0034684581,0.9969521977,0.9846204227,1.0116973855,1.0040862014,1.0817008097
2023-02-08,1.0039288652,1.0024984268,1.0039400188,1.0035580765,1.0090314858,1.0099917071,1.0036678256,0.9966294666,0.9752896224,1.0083224211,1.0108221159,1.0944134338
2023-02-09,1.0040322125,1.0022674832,1.0040445675,1.0035582882,1.0088756426,1.0100833493,1.0037253303,0.9957078152,0.9696022497,1.0035032685,1.0076942737,1.0846398803
2023-02-10,1.0041206628,1.0022400646,1.0040902411,1.0038625100,1.0080540282,1.0097919509,1.0039784937,0.9988998735,0.9685044537,1.0227432142,1.0044022948,1.1020257072
2023-02-13,1.0042765438,1.0020665168,1.0041011755,1.0039920463,1.0076933343,1.0107654467,1.0041634183,1.0027165764,0.9736680311,1.0119668011,1.0055059266,1.1255113465
2023-02-14,1.0043961146,1.0021235978,1.0043197349,1.0038745700,1.0072043695,1.0126790352,1.0042298261,1.0035618344,0.9644038174,1.0123380708,1.0105022435,1.1067531367
2023-02-15,1.0045391470,1.0019150149,1.0043971802,1.0039605038,1.0095430098,1.0140084965,1.0043725083,1.0039573597,0.9620711656,1.0297699095,1.0061385751,1.0992345746
2023-02-16,1.0046139040,1.0021400870,1.0045258946,1.0037629904,1.0102828993,1.0135684726,1.0044234967,1.0039825240,0.9622945962,1.0212157368,1.0070617178,1.1043646939
2023-02-17,1.0045856354,1.0022072692,1.0046358975,1.0038443617,1.0094953660,1.0150989685,1.0045449640,1.0003716337,0.9478778680,1.0186015395,0.9890529225,1.1008605495
2023-02-20,1.0046872540,1.0025641441,1.0046996698,1.0040100471,1.0089464140,1.0146874217,1.0045850738,0.9982105186,0.9519250972,1.0231363427,0.9914973148,1.0827510704
2023-02-21,1.0047866936,1.0028625224,1.0045982233,1.0042299895,1.0099902376,1.0151670246,1.0047051915,1.0008302728,0.9580628578,1.0112147924,0.9911084090,1.0964412753
2023-02-22,1.0048343518,1.0028441223,1.0047150252,1.0042492770,1.0088826176,1.0166699239,1.0047486592,0.9988120304,0.9532989622,1.0068238577,0.9987626375,1.0913611107
2023-02-23,1.0047253485,1.0030482997,1.0049670072,1.0045596640,1.0098782101,1.0157077927,1.0049302444,0.9982138373,0.9559481153,1.0011332318,0.9996991736,1.1010810206
2023-02-24,1.0047224830,1.0031149064,1.0051669602,1.0047938489,1.0107024253,1.0167502594,1.0050395828,1.0028901349,0.9606857817,1.0026471193,1.0073572419,1.1143287495
2023-02-27,1.0048854076,1.0031763249,1.0051964731,1.0049697660,1.0101874327,1.0156095089,1.0052385682,1.0040184905,0.9594270054,1.0059391634,1.0219149865,1.1205402280
2023-02-28,1.0050277890,1.0033954931,1.0053975485,1.0050239126,1.0129787370,1.0161763907,1.0054327313,1.0043027268,0.9653171242,1.0109712095,1.0338173941,1.1438973764
2023-03-01,1.0051589868,1.0035103363,1.0054471367,1.0052652557,1.0119738186,1.0179769396,1.0056026497,1.0045891782,0.9730391947,0.9998551780,1.0324519610,1.1424015021
2023-03-02,1.0053098344,1.0035103841,1.0055384283,1.0054416182,1.0125539895,1.0179530702,1.0058306017,1.0027793278,0.9682432571,0.9959318933,1.0249419708,1.1661604152
2023-03-03,1.0055431781,1.0034921279,1.0055503854,1.0054980321,1.0120928883,1.0178534422,1.0059834535,1.0013100535,0.9655938611,1.0080498574,1.0282911867,1.1601956974
