Date,Yield
2022-11-03,3.3
2022-11-04,3.304
2022-11-05,3.298
2022-11-06,3.298
2022-11-07,3.294
2022-11-08,3.297
2022-11-09,3.3
2022-11-10,3.305
2022-11-11,3.301
2022-11-12,3.307
2022-11-13,3.307
2022-11-14,3.313
2022-11-15,3.325
2022-11-16,3.319
2022-11-17,3.324
2022-11-18,3.33
2022-11-19,3.329
2022-11-20,3.328
2022-11-21,3.33
2022-11-22,3.333
2022-11-23,3.322
2022-11-24,3.315
2022-11-25,3.311
2022-11-26,3.323
2022-11-27,3.327
2022-11-28,3.328
2022-11-29,3.332
2022-11-30,3.33
2022-12-01,3.326
2022-12-02,3.315
2022-12-03,3.31
2022-12-04,3.32
2022-12-05,3.324
2022-12-06,3.319
2022-12-07,3.313
2022-12-08,3.311
2022-12-09,3.304
2022-12-10,3.302
2022-12-11,3.3
2022-12-12,3.308
2022-12-13,3.307
2022-12-14,3.305
2022-12-15,3.313
2022-12-16,3.313
2022-12-17,3.299
2022-12-18,3.301
2022-12-19,3.305
2022-12-20,3.307
2022-12-21,3.301
2022-12-22,3.315
2022-12-23,3.317
2022-12-24,3.308
2022-12-25,3.309
2022-12-26,3.305
2022-12-27,3.31
2022-12-28,3.311
2022-12-29,3.308
2022-12-30,3.309
2022-12-31,3.311
2023-01-01,3.314
2023-01-02,3.325
2023-01-03,3.334
2023-01-04,3.335
2023-01-05,3.338
2023-01-06,3.335
2023-01-07,3.337
2023-01-08,3.339
2023-01-09,3.344
2023-01-10,3.354
2023-01-11,3.35
2023-01-12,3.349
2023-01-13,3.339
2023-01-14,3.334
2023-01-15,3.334
2023-01-16,3.326
2023-01-17,3.321
2023-01-18,3.324
2023-01-19,3.319
2023-01-20,3.317
2023-01-21,3.316
2023-01-22,3.322
2023-01-23,3.334
2023-01-24,3.332
2023-01-25,3.342
2023-01-26,3.342
2023-01-27,3.341
2023-01-28,3.343
2023-01-29,3.339
2023-01-30,3.326
2023-01-31,3.324
2023-02-01,3.312
2023-02-02,3.305
2023-02-03,3.303
2023-02-04,3.295
2023-02-05,3.293
2023-02-06,3.289
2023-02-07,3.287
2023-02-08,3.29
2023-02-09,3.284
2023-02-10,3.291
2023-02-11,3.291
2023-02-12,3.29
2023-02-13,3.291
2023-02-14,3.294
2023-02-15,3.298
2023-02-16,3.307
2023-02-17,3.314
2023-02-18,3.31
2023-02-19,3.309
2023-02-20,3.312
2023-02-21,3.327
2023-02-22,3.329
2023-02-23,3.333
2023-02-24,3.34
2023-02-25,3.352
2023-02-26,3.357
2023-02-27,3.357
2023-02-28,3.352
2023-03-01,3.339
2023-03-02,3.331
2023-03-03,3.339
2023-03-04,3.337
2023-03-05,3.344
2023-03-06,3.341
2023-03-07,3.335
2023-03-08,3.329
2023-03-09,3.324
2023-03-10,3.335
2023-03-11,3.327
2023-03-12,3.326
2023-03-13,3.319
2023-03-14,3.321
2023-03-15,3.311
2023-03-16,3.311
2023-03-17,3.309
2023-03-18,3.313
2023-03-19,3.315
2023-03-20,3.31
2023-03-21,3.309
2023-03-22,3.301
2023-03-23,3.288
2023-03-24,3.293
2023-03-25,3.286
2023-03-26,3.295
2023-03-27,3.296
2023-03-28,3.291
2023-03-29,3.28
2023-03-30,3.278
2023-03-31,3.278
2023-04-01,3.269
2023-04-02,3.273
2023-04-03,3.268
2023-04-04,3.264
2023-04-05,3.256
2023-04-06,3.254
2023-04-07,3.26
2023-04-08,3.263
2023-04-09,3.265
2023-04-10,3.262
2023-04-11,3.257
2023-04-12,3.262
2023-04-13,3.268
2023-04-14,3.27
2023-04-15,3.269
2023-04-16,3.262
2023-04-17,3.264
2023-04-18,3.254
2023-04-19,3.245
2023-04-20,3.241
2023-04-21,3.244
2023-04-22,3.243
2023-04-23,3.238
2023-04-24,3.238
2023-04-25,3.237
2023-04-26,3.235
2023-04-27,3.233
2023-04-28,3.232
2023-04-29,3.234
2023-04-30,3.239
2023-05-01,3.24
2023-05-02,3.239
2023-05-03,3.246
2023-05-04,3.244
2023-05-05,3.238
2023-05-06,3.24
2023-05-07,3.245
2023-05-08,3.246
2023-05-09,3.253
2023-05-10,3.258
2023-05-11,3.266
2023-05-12,3.268
2023-05-13,3.266
2023-05-14,3.264
2023-05-15,3.27
2023-05-16,3.276
2023-05-17,3.279
2023-05-18,3.279
2023-05-19,3.275
2023-05-20,3.275
2023-05-21,3.28
2023-05-22,3.285
2023-05-23,3.301
2023-05-24,3.301
2023-05-25,3.3
2023-05-26,3.304
2023-05-27,3.3
2023-05-28,3.303
2023-05-29,3.29
2023-05-30,3.294
2023-05-31,3.296
2023-06-01,3.288
2023-06-02,3.284
2023-06-03,3.289
2023-06-04,3.305
2023-06-05,3.314
2023-06-06,3.311
2023-06-07,3.315
2023-06-08,3.315
2023-06-09,3.313
2023-06-10,3.316
2023-06-11,3.315
2023-06-12,3.326
2023-06-13,3.325
2023-06-14,3.327
2023-06-15,3.339
2023-06-16,3.343
2023-06-17,3.34
2023-06-18,3.343
2023-06-19,3.347
2023-06-20,3.349
2023-06-21,3.354
2023-06-22,3.363
2023-06-23,3.362
2023-06-24,3.356
2023-06-25,3.359
2023-06-26,3.363
2023-06-27,3.358
2023-06-28,3.355
2023-06-29,3.354
2023-06-30,3.351
2023-07-01,3.359
2023-07-02,3.355
2023-07-03,3.351
2023-07-04,3.346
2023-07-05,3.349
2023-07-06,3.347
2023-07-07,3.348
2023-07-08,3.342
2023-07-09,3.339
2023-07-10,3.343
2023-07-11,3.348
2023-07-12,3.344
2023-07-13,3.343
2023-07-14,3.35
2023-07-15,3.341
2023-07-16,3.339
2023-07-17,3.338
2023-07-18,3.341
2023-07-19,3.337
2023-07-20,3.335
2023-07-21,3.331
2023-07-22,3.331
2023-07-23,3.331
2023-07-24,3.325
2023-07-25,3.315
2023-07-26,3.305
2023-07-27,3.307
2023-07-28,3.307
2023-07-29,3.31
2023-07-30,3.319
2023-07-31,3.322
2023-08-01,3.322
2023-08-02,3.317
2023-08-03,3.313
2023-08-04,3.307
2023-08-05,3.302
2023-08-06,3.309
2023-08-07,3.31
2023-08-08,3.299
2023-08-09,3.308
2023-08-10,3.307
2023-08-11,3.307
2023-08-12,3.304
2023-08-13,3.293
2023-08-14,3.302
2023-08-15,3.306
2023-08-16,3.304
2023-08-17,3.307
2023-08-18,3.306
2023-08-19,3.303
2023-08-20,3.304
2023-08-21,3.311
2023-08-22,3.312
2023-08-23,3.313
2023-08-24,3.298
2023-08-25,3.301
2023-08-26,3.294
2023-08-27,3.292
2023-08-28,3.298
2023-08-29,3.298
2023-08-30,3.297
2023-08-31,3.301
2023-09-01,3.3
2023-09-02,3.296
2023-09-03,3.292
2023-09-04,3.29
2023-09-05,3.291
2023-09-06,3.285
2023-09-07,3.3
2023-09-08,3.301
2023-09-09,3.295
2023-09-10,3.298
2023-09-11,3.296
2023-09-12,3.298
2023-09-13,3.301
2023-09-14,3.304
2023-09-15,3.301
2023-09-16,3.304
2023-09-17,3.303
2023-09-18,3.297
2023-09-19,3.293
2023-09-20,3.285
2023-09-21,3.285
2023-09-22,3.283
2023-09-23,3.288
2023-09-24,3.289
2023-09-25,3.292
2023-09-26,3.289
2023-09-27,3.295
2023-09-28,3.303
2023-09-29,3.308
2023-09-30,3.305
2023-10-01,3.313
2023-10-02,3.32
2023-10-03,3.321
